date,B00009RF1E,B000BBGS36,B000BCZ8JU,B001FDKGIW,B001GQ3GEY,B002FS4VJQ,B0084AWBRS,B079945DR1,average
2020-02-12,0.9498910675381261,1.072,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.967290255939401,1.0105677465926903
2020-02-13,0.9498910675381261,1.072,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.967290255939401,1.0105677465926903
2020-02-14,0.9353376906318079,1.072,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.9661425456214853,1.008605110689661
2020-02-15,0.9353376906318079,1.072,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.9661425456214853,1.008605110689661
2020-02-16,0.9353376906318079,1.1127249999999997,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.9661425456214853,1.013695735689661
2020-02-17,0.9052287581699343,1.1189615384615383,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.9661425456214853,1.010711686439619
2020-02-18,0.9054466230936817,1.107,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.9661425456214853,1.0092437272473953
2020-02-19,0.8917937545388526,1.099375,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.9661425456214853,1.0065839936780416
2020-02-20,0.8861002178649234,1.099375,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.967290255939401,1.00601576538354
2020-02-21,0.8861002178649234,1.099375,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.9661425456214853,1.0058723015938005
2020-02-22,0.8861002178649234,1.099375,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.9656834614943189,1.0058149160779046
2020-02-23,0.8861002178649234,1.099375,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.9656834614943189,1.0058149160779046
2020-02-24,0.9455337690631805,1.099375,1.0,1.0,1.1429796968830426,1.1529100529100529,1.0,0.9668311718122345,1.0384537113335637
2020-02-25,0.9150326797385618,1.099375,1.0,1.0,1.1429796968830426,1.1529100529100529,1.0,0.9668311718122345,1.0346410751679864
2020-02-26,0.9150326797385618,1.099375,1.0,1.0,1.1429796968830426,1.1529100529100529,1.0,0.9668311718122345,1.0346410751679864
2020-02-27,0.9150326797385618,1.099375,1.0,1.0,1.1429796968830426,1.1174603174603175,1.0,0.9668311718122345,1.0302098582367696
2020-02-28,0.9150326797385618,1.099375,1.0,1.0,1.1429796968830426,1.1613756613756614,1.0,0.9668311718122345,1.0356992762261874
2020-02-29,0.9150326797385618,1.099375,1.0,1.0,1.1429796968830426,1.1613756613756614,1.0,0.9662573166532767,1.0356275443313179
2020-03-01,0.9150326797385618,1.099375,1.0,1.0,1.1429796968830426,1.1349206349206349,1.0,0.9662573166532767,1.0323206660244395
2020-03-02,0.9150326797385618,1.099375,1.0,1.0,1.1429796968830426,1.1511111111111112,1.0,1.0054707525153987,1.0392461550310141
2020-03-03,0.9150326797385618,1.099375,0.9938611346316681,1.0,1.1429796968830426,1.2486772486772488,1.0,0.9835112284326101,1.0479296235453914
2020-03-04,0.9150326797385618,1.099375,0.9938611346316681,1.0,1.1429796968830426,1.234920634920635,1.0,1.0327097440605992,1.0523598612793132
2020-03-05,0.9150326797385618,1.099375,1.0,1.0,1.1429796968830426,1.2645502645502646,1.0,0.999770457936417,1.0527135123885358
2020-03-06,0.9150326797385618,1.15875,1.0,1.0,1.1429796968830426,1.2645502645502646,1.0,0.999770457936417,1.0601353873885357
2020-03-07,0.9150326797385618,1.15875,1.0,1.0,1.1429796968830426,0.9523809523809524,1.0,0.9682084241937335,1.0171689691495363
2020-03-08,0.9150326797385618,1.1889375,1.0,1.0,1.1429796968830426,1.2645502645502646,1.0,0.9682084241937335,1.0599635706707002
2020-03-09,0.8714596949891065,1.099375,1.0,1.0,1.1429796968830426,1.1084656084656086,1.0,1.0004590841271663,1.0278423855581154
2020-03-10,0.8714596949891065,1.099375,1.0,1.0,1.1429796968830426,1.1307936507936511,1.0,0.9887906958950227,1.0291748423201028
2020-03-11,0.8714596949891065,1.306125,1.0,1.0,1.1429796968830426,1.0704761904761906,1.0,0.9656834614943189,1.0445905054803324
2020-03-12,0.8714596949891065,1.30625,1.0,1.0,1.1429796968830426,1.0704761904761906,1.0,0.9892115230115919,1.0475471381699915
2020-03-13,0.8714596949891065,1.30625,1.0,1.0,1.1429796968830426,1.0704761904761906,1.0,1.0004590841271663,1.0489530833094383
2020-03-14,0.8714596949891065,1.30625,1.0,1.0,1.1429796968830426,1.0704761904761906,1.0,0.999770457936417,1.0488670050355946
2020-03-15,0.8710239651416118,1.30625,1.0,1.0,1.1429796968830426,1.0704761904761906,1.0,0.999770457936417,1.0488125388046576
2020-03-16,0.8710239651416118,1.30625,1.0,1.0,1.1429796968830426,1.0704761904761906,1.0,0.9884081257890509,1.047392247286237
2020-03-17,0.8710239651416118,1.30625,1.0,1.0,1.1429796968830426,1.0704761904761906,1.0,0.9884081257890509,1.047392247286237
