date,B005GSYXJ0,B00D5YS4HE,B01BZ0M3ZI,B01GK94OQK,B01HSSVDT8,B01HSSXYVI,B01HSSZN2Q,B01HTBHMRG,average
2020-02-16,1.0,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.8505564387917328,1.0,0.9277177006260672,1.0,0.9640044461215767
2020-02-17,1.0,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.8505564387917328,1.0,0.9277177006260672,1.0,0.9640044461215767
2020-02-18,1.0,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.8505564387917328,1.0,0.9089356858281161,1.0,0.9616566942718328
2020-02-19,1.0,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.9602543720190779,1.0,0.9095048377916904,1.0,0.9754400799206977
2020-02-20,1.0,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.9602543720190779,1.0,0.9123505976095618,1.0,0.9757957998979316
2020-02-21,1.0,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.9602543720190779,1.0,0.9112122936824133,1.0,0.9756535119070381
2020-02-22,1.0,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.9602543720190779,1.0,0.9117814456459874,1.0,0.9757246559024848
2020-02-23,1.0,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.9602543720190779,1.0,0.9117814456459874,1.0,0.9757246559024848
2020-02-24,1.0,0.9375917767988253,0.9835423197492164,1.0074878322725573,0.9602543720190779,1.0,0.9080819578827546,1.0,0.974619782340304
2020-02-25,1.0,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.9602543720190779,0.9679679679679679,0.9134889015367104,1.0,0.9719340838848212
2020-02-26,1.0,0.9375917767988253,0.9835423197492164,1.0074878322725573,0.9602543720190779,0.9679679679679679,0.9379624359704041,1.0,0.9743508380972562
2020-02-27,1.0,0.9401615271659325,0.9835423197492164,1.0074878322725573,0.8807631160572337,0.9679679679679679,0.9379624359704041,1.0,0.964735649897914
2020-02-28,1.0,0.9427312775330396,0.9835423197492164,1.0063646574316738,0.8807631160572337,1.0,0.9379624359704041,1.0,0.968920475842696
2020-02-29,1.0,0.9427312775330396,0.9835423197492164,1.0069262448521155,0.8807631160572337,1.0,0.9183266932270915,1.0,0.9665362064273371
2020-03-01,1.0,0.9427312775330396,0.9835423197492164,1.0074878322725573,0.8807631160572337,1.0,0.9183266932270915,1.0,0.9666064048548922
2020-03-02,1.0,0.9427312775330396,0.9835423197492164,1.0074878322725573,1.3124006359300475,1.0,0.9157655093910074,1.0,1.0202409468594835
2020-03-03,1.0,0.9427312775330396,0.9835423197492164,1.0074878322725573,1.3124006359300475,1.0,0.915196357427433,1.232722143864598,1.0492600708471114
