date,N95 Mask,hand sanitizer,disinfectant spray,disinfectant wipes,olive oil,canned soup,rice,instant noodles,bottled water,hair color,hair clipper,shampoo,trash bag,toilet paper,dumbbell,yoga mat,nintendo switch,pet supply,printer ink
2020-03-06,0.5,0.6,0.3,0.3,0.0,,0.1,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.5,0.3,0.1,0.8,0.4
2020-03-07,0.5,0.6,0.4,0.4,0.0,,0.2,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.5,0.3,0.1,0.8,0.4
2020-03-08,0.5,0.7,0.4,0.6,0.0,,0.0,0.4444444444444444,0.6,0.2,0.3,0.0,0.7,0.0,0.5,0.3,0.1,0.8,0.4
2020-03-09,0.5,0.6,0.3,0.4,0.0,,0.0,0.4444444444444444,0.6,0.2,0.3,0.0,0.7,0.0,0.5,0.3,0.1,0.8,0.4
2020-03-10,0.6,0.6,0.3,0.3,0.0,,0.0,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.6,0.3,0.1,0.8,0.4
2020-03-11,0.6,0.6,0.3,0.3,0.0,,0.0,0.4444444444444444,0.6,0.3,0.2,0.0,0.7,0.0,0.5,0.3,0.1,0.8,0.4
2020-03-12,0.6,0.6,0.4,0.6,0.0,,0.0,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.1,0.5,0.3,0.1,0.8,0.3
2020-03-13,0.6,0.6,0.3,0.6,0.1,,0.0,0.4444444444444444,0.7,0.2,0.2,0.0,0.7,0.0,0.4,0.3,0.1,0.8,0.3
2020-03-14,0.6,0.6,0.3,0.6,0.0,,0.0,0.4444444444444444,0.7,0.3,0.2,0.0,0.7,0.0,0.4,0.3,0.1,0.8,0.3
2020-03-15,0.6,0.6,0.4,0.5,0.1,,0.0,0.4444444444444444,0.6,0.3,0.2,0.0,0.7,0.0,0.4,0.3,0.1,0.8,0.3
2020-03-16,0.6,0.7,0.3,0.7,0.1,,0.0,0.5555555555555556,0.6,0.2,0.3,0.0,0.7,0.0,0.4,0.3,0.1,0.7,0.3
2020-03-17,0.6,0.6,0.3,0.7,0.2,,0.0,0.4444444444444444,0.6,0.2,0.3,0.0,0.7,0.2,0.5,0.3,0.1,0.6,0.3
2020-03-18,0.6,0.6,0.3,0.6,0.1,,0.0,0.4444444444444444,0.6,0.2,0.3,0.0,0.7,0.1,0.5,0.3,0.1,0.6,0.3
2020-03-19,0.6,0.6,0.3,0.7,0.0,,0.1,0.5555555555555556,0.7,0.3,0.3,0.1,0.7,0.1,0.5,0.3,0.1,0.6,0.3
