date,B001PCVAJM,B001PD0Q5U,B002Y46R0M,B008O9L8KK,B0856883TQ,B085B3SDSR,B085GK6NVY,B085WNYY71,B085WPFMBJ,B085WPL53C,average
2020-04-21,0.6669561441597915,0.40811638591117916,0.7199349945828818,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8479517238103769
2020-04-22,0.6669561441597915,0.40811638591117916,0.7199349945828818,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8479517238103769
2020-04-23,0.6669561441597915,0.41003062787136296,0.7199349945828818,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8481431480063953
2020-04-24,0.6669561441597915,0.41194486983154666,0.7199349945828818,0.6318504190844616,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8483345722024136
2020-04-25,0.6669561441597915,0.41194486983154666,0.7199349945828818,1.0870406189555124,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8938535921895188
2020-04-26,0.6669561441597915,0.41194486983154666,0.7199349945828818,1.0870406189555124,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8938535921895188
2020-04-27,0.6669561441597915,0.41194486983154666,0.7199349945828818,1.0870406189555124,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8938535921895188
2020-04-28,0.6669561441597915,0.41194486983154666,0.7199349945828818,1.0870406189555124,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8938535921895188
2020-04-29,0.6669561441597915,0.41194486983154666,0.7199349945828818,1.0870406189555124,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8938535921895188
2020-04-30,0.6669561441597915,0.41194486983154666,0.7199349945828818,1.0870406189555124,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.8938535921895188
2020-05-01,0.7112462006079027,0.41194486983154666,0.8640303358613217,1.0870406189555124,1.0,1.0,1.0,1.0,1.0,1.0526592943654556,0.9126921319621738
2020-05-02,0.7112462006079027,0.41194486983154666,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9180870104638388
2020-05-03,0.7112462006079027,0.4157733537519142,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9184698588558755
2020-05-04,0.7112462006079027,0.4157733537519142,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9184698588558755
2020-05-05,0.7112462006079027,0.4157733537519142,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9184698588558755
2020-05-06,0.7112462006079027,0.4157733537519142,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9184698588558755
2020-05-07,0.7112462006079027,0.4157733537519142,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9184698588558755
2020-05-08,0.7112462006079027,0.4203675344563553,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9189292769263195
2020-05-09,0.7112462006079027,0.4203675344563553,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9189292769263195
2020-05-10,0.7112462006079027,0.4203675344563553,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9189292769263195
2020-05-11,0.7112462006079027,0.4203675344563553,0.8640303358613217,1.0883301096067053,1.0,1.0,1.0,1.0526592943654556,1.0,1.0526592943654556,0.9189292769263195
