date,B00PDNY8Q6,B01FS2W6I8,B01GAIU7HG,B07CZK4RY1,B07D93TR7Z,B07QNSDX64,B07QPWKYG9,B07QR1HGV5,average
2020-02-23,1.3035902851108765,1.0,0.6111914562242741,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9171376382464334
2020-02-24,1.3035902851108765,1.0,0.6111914562242741,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9171376382464334
2020-02-25,1.3035902851108765,1.0,0.6111914562242741,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9171376382464334
2020-02-26,1.3035902851108765,1.0,0.6111914562242741,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9171376382464334
2020-02-27,1.3035902851108765,1.0,0.6111914562242741,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9171376382464334
2020-02-28,1.3035902851108765,1.0,0.6111914562242741,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9171376382464334
2020-02-29,1.3035902851108765,1.0,0.6111914562242741,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9171376382464334
2020-03-01,1.3035902851108765,1.0,0.6111914562242741,1.0,1.0,0.859897257989192,0.9310059334897198,0.859897257989192,0.9456977738504069
2020-03-02,1.3035902851108765,1.0,0.6111914562242741,1.0,1.0,0.859897257989192,0.9310059334897198,0.859897257989192,0.9456977738504069
2020-03-03,1.3035902851108765,1.0,0.6111914562242741,1.0,1.0,0.859897257989192,0.9310059334897198,0.859897257989192,0.9456977738504069
2020-03-04,1.3035902851108765,1.0,0.6111914562242741,1.0,1.0,0.859897257989192,0.9310059334897198,0.859897257989192,0.9456977738504069
2020-03-05,1.3035902851108765,1.0,0.6111914562242741,1.0,1.0,0.859897257989192,0.9310059334897198,0.859897257989192,0.9456977738504069
2020-03-06,1.3035902851108765,1.0,0.6111914562242741,1.0,1.0,0.859897257989192,0.9310059334897198,0.859897257989192,0.9456977738504069
2020-03-07,1.3035902851108765,1.0,0.6111914562242741,1.0,1.0,0.859897257989192,0.9310059334897198,0.859897257989192,0.9456977738504069
2020-03-08,1.3035902851108765,1.0,0.7006897318945378,1.0,1.0,1.3335779571685904,0.6891817303711881,0.8605644139035294,0.9859505148060903
2020-03-09,1.3035902851108765,1.0,1.0,1.0,1.0,1.3335779571685904,0.6891817303711881,1.3335779571685904,1.0824909912274057
2020-03-10,1.3035902851108765,1.0,1.0,1.0,1.0,1.3335779571685904,0.6891817303711881,1.3335779571685904,1.0824909912274057
2020-03-11,1.3035902851108765,1.0,1.0,1.0,1.0,1.3335779571685904,0.6891817303711881,1.3335779571685904,1.0824909912274057
2020-03-12,1.3035902851108765,1.0,0.6563577706085215,1.0,1.0,1.3335779571685904,0.6891817303711881,1.3335779571685904,1.0395357125534708
2020-03-13,1.3035902851108765,1.0,1.0,1.0,1.0,1.3335779571685904,0.6891817303711881,1.3335779571685904,1.0824909912274057
2020-03-14,1.3035902851108765,1.0,1.0,1.0,1.0,1.3335779571685904,0.6891817303711881,1.3335779571685904,1.0824909912274057
