date,B0014COKYU,B00BAKMTG2,B00GYRBXCM,B00GYRBY1M,B00WG9SJUG,B01K1P98JC,B06XD7BRJG,B078B71157,B079Z1M3T6,B079Z6XH36,average
2020-02-27,0.3909255898366606,1.0853788687299895,0.9688581314878892,1.6545253863134657,1.0,1.0,1.006741573033708,1.0,0.7510810810810811,1.0,0.9857510630482793
2020-02-28,0.3909255898366606,1.0853788687299895,0.9688581314878892,1.6545253863134657,1.0,1.0,1.006741573033708,1.0,0.7510810810810811,1.0,0.9857510630482793
2020-02-29,0.3909255898366606,1.0853788687299895,0.9688581314878892,1.6545253863134657,1.0,1.0,0.9303370786516855,1.0,0.7510810810810811,1.0,0.9781106136100771
2020-03-01,0.3909255898366606,1.0853788687299895,0.9688581314878892,1.6545253863134657,1.0,1.0,1.006741573033708,1.0,0.7510810810810811,1.0,0.9857510630482793
2020-03-02,0.3909255898366606,1.0853788687299895,0.9688581314878892,1.6545253863134657,1.0,1.0,0.9932584269662922,1.0,0.7648648648648649,1.0,0.9857811268199163
2020-03-03,0.3909255898366606,1.5997865528281752,0.9688581314878892,1.6545253863134657,1.0,1.276326207442597,1.006741573033708,1.0,0.7648648648648649,1.0,1.066202830580736
2020-03-04,1.2402903811252268,1.5197438633938103,0.9688581314878892,1.6545253863134657,1.0,1.276326207442597,1.006741573033708,1.0,0.7648648648648649,1.0,1.1431350407661562
2020-03-05,1.0584392014519057,1.4439701173959445,0.9688581314878892,1.6545253863134657,1.0,1.276326207442597,1.006741573033708,1.0,0.7648648648648649,1.0,1.1173725481990375
2020-03-06,1.4950998185117967,1.4439701173959445,0.9688581314878892,1.6545253863134657,1.0,1.276326207442597,0.9606741573033708,1.0,0.7648648648648649,1.0,1.156431868331993
2020-03-07,1.4950998185117967,1.4439701173959445,1.3440984236831988,1.6545253863134657,1.0,1.276326207442597,1.006741573033708,1.0,0.7648648648648649,1.0,1.1985626391245576
2020-03-08,1.4950998185117967,1.4439701173959445,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,1.006741573033708,1.0,0.7648648648648649,1.0,1.1984088521195595
2020-03-09,1.4950998185117967,1.5997865528281752,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,1.006741573033708,1.0,0.7648648648648649,1.0,1.2139904956627825
2020-03-10,1.4232304900181487,1.4439701173959445,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,1.006741573033708,1.0,0.7648648648648649,1.0,1.1912219192701947
2020-03-11,1.4232304900181487,1.3713980789754536,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,0.9932584269662922,1.0,0.7648648648648649,1.0,1.1826164008214042
2020-03-12,1.4156079854809438,1.5997865528281752,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,1.006741573033708,1.609234234234234,0.7294594594594594,1.0,1.2634241952425802
2020-03-13,1.4036297640653357,1.5997865528281752,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,0.9932584269662922,1.6148648648648647,0.7294594594594594,1.0,1.261441121557341
2020-03-14,1.413647912885663,1.7769477054429028,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,0.9932584269662922,1.6148648648648647,0.7294594594594594,1.0,1.2801590517008463
2020-03-15,1.4232304900181487,1.7769477054429028,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,1.002247191011236,1.6148648648648647,0.7294594594594594,1.0,1.2820161858185892
2020-03-16,1.4232304900181487,1.7769477054429028,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,1.0,1.6148648648648647,0.7294594594594594,1.0,1.2817914667174657
2020-03-17,1.4232304900181487,1.7769477054429028,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,1.0,1.6148648648648647,0.7294594594594594,1.0,1.2817914667174657
2020-03-18,1.4232304900181487,1.7769477054429028,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,1.006741573033708,1.6148648648648647,0.7294594594594594,1.0,1.2824656240208365
2020-03-19,1.4232304900181487,1.7769477054429028,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,1.006741573033708,1.6069819819819817,0.7294594594594594,1.0,1.2816773357325482
2020-03-20,1.4232304900181487,1.7769477054429028,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,1.006741573033708,1.6069819819819817,0.7294594594594594,1.0,1.2816773357325482
2020-03-21,1.4232304900181487,1.7769477054429028,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,0.9632958801498127,1.5833333333333333,0.7294594594594594,1.0,1.2749679015792938
2020-03-22,1.4232304900181487,1.7769477054429028,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,1.006741573033708,1.5833333333333333,0.7294594594594594,1.0,1.2793124708676833
2020-03-23,1.4232304900181487,1.7769477054429028,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,0.9677902621722847,1.5833333333333333,1.0,1.0,1.3024713938355952
2020-03-24,1.4232304900181487,1.7769477054429028,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,1.006741573033708,1.5833333333333333,1.0,1.0,1.3063665249217373
2020-03-25,1.4232304900181487,1.7769477054429028,1.342560553633218,1.6545253863134657,1.0,1.276326207442597,1.006741573033708,1.6159909909909909,1.0,1.0,1.309632290687503
2020-03-26,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.006741573033708,1.0,1.0,1.0,1.1430592218749027
2020-03-27,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.0,1.0,1.0,1.0,1.1423850645715319
2020-03-28,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.0,1.0,1.0,1.0,1.1423850645715319
2020-03-29,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.006741573033708,1.0,1.0,1.0,1.1430592218749027
2020-03-30,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.006741573033708,1.0,1.0,1.0,1.1430592218749027
2020-03-31,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.006741573033708,1.0,1.0,1.0,1.1430592218749027
2020-04-01,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.006741573033708,1.0,1.0,1.0,1.1430592218749027
2020-04-02,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.0,1.0,1.0,1.0,1.1423850645715319
2020-04-03,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.0,1.0,1.0,1.0,1.1423850645715319
2020-04-04,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9677902621722847,1.0,1.0,1.0,1.1391640907887604
2020-04-05,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9677902621722847,1.0,1.0,1.0,1.1391640907887604
2020-04-06,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9677902621722847,0.8558558558558558,1.0,1.0,1.1247496763743459
2020-04-07,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9677902621722847,0.8558558558558558,1.0,1.0,1.1247496763743459
2020-04-08,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.006741573033708,0.9042792792792791,1.0,1.0,1.1334871498028307
2020-04-09,1.2653357531760434,1.7769477054429028,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.002247191011236,0.9042792792792791,1.0,1.0,1.1330377116005834
2020-04-10,1.2653357531760434,1.771611526147279,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9677902621722847,0.9042792792792791,1.0,1.0,1.1290584007871258
2020-04-11,1.2653357531760434,1.771611526147279,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.006741573033708,0.902027027027027,1.0,1.0,1.1327283066480427
2020-04-12,1.2653357531760434,1.6179295624332979,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.006741573033708,0.902027027027027,1.0,1.0,1.1173601102766448
2020-04-13,1.2653357531760434,1.6040554962646745,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9775280898876405,0.902027027027027,1.0,1.0,1.1130513553451755
2020-04-14,1.2653357531760434,1.6307363927427962,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.006741573033708,0.902027027027027,1.0,1.0,1.1186407933075946
2020-04-15,1.2653357531760434,0.8612593383137674,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.0,0.902027027027027,1.0,1.0,1.041018930561321
2020-04-16,1.2653357531760434,1.6520811099252937,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.0,0.902027027027027,1.0,1.0,1.1201011077224736
2020-04-17,1.2653357531760434,1.6702241195304164,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9932584269662922,0.902027027027027,1.0,1.0,1.121241251379615
2020-04-18,1.41016333938294,1.6702241195304164,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9677902621722847,0.9087837837837838,1.0,1.0,1.1338528691965797
2020-04-19,1.41016333938294,1.6691568836712916,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9932584269662922,0.9087837837837838,1.0,1.0,1.1362929620900681
2020-04-20,2.2018148820326675,1.664887940234792,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.006741573033708,0.9087837837837838,1.0,1.0,1.2163795366181325
2020-04-21,2.2018148820326675,1.6872998932764143,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9977528089887641,0.9087837837837838,1.0,1.0,1.2177218555178002
2020-04-22,2.291107078039927,1.4005691924582,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9674157303370786,0.9087837837837838,1.0,1.0,1.1949442971715363
2020-04-23,2.291107078039927,1.450373532550694,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9932584269662922,0.9087837837837838,1.0,1.0,1.202509000843707
2020-04-24,2.291107078039927,1.450373532550694,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9415730337078653,0.9087837837837838,1.0,1.0,1.1973404615178642
2020-04-25,2.435934664246824,1.450373532550694,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9415730337078653,0.9087837837837838,1.0,1.0,1.211823220138554
2020-04-26,2.5568058076225046,1.336179295624333,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9415730337078653,0.9087837837837838,1.0,1.0,1.212490910783486
2020-04-27,2.5568058076225046,1.336179295624333,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9415730337078653,0.9087837837837838,1.0,1.0,1.212490910783486
2020-04-28,2.5426497277676954,1.4375667022411955,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9415730337078653,0.9087837837837838,1.0,1.0,1.2212140434596912
2020-04-29,2.2863883847549906,1.3112771255780862,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9415730337078653,0.9087837837837838,1.0,1.0,1.1829589514921097
2020-04-30,2.1582577132486387,1.345784418356457,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9280898876404495,0.9087837837837838,1.0,1.0,1.1722482990125702
2020-05-01,2.231215970961887,1.512273212379936,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9280898876404495,0.9087837837837838,1.0,1.0,1.196193004186243
2020-05-02,2.231215970961887,1.5464247598719318,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,0.9977528089887641,0.9087837837837838,1.0,1.0,1.2065744510702738
2020-05-03,2.2704174228675136,1.7374599786552831,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.006741573033708,0.9605855855855854,1.0,1.0,1.2356771747238462
2020-05-04,2.2704174228675136,1.5859124866595518,1.000384467512495,1.1048565121412803,1.0,1.276326207442597,1.0,0.9605855855855854,1.0,1.0,1.2198482682209024
2020-05-05,2.304174228675136,1.8665955176093916,1.0880430603613995,1.1048565121412803,1.0,1.276326207442597,0.9932584269662922,0.9605855855855854,1.0,1.0,1.2593839538781681
2020-05-06,1.962250453720508,1.7566702241195307,1.0880430603613995,1.1048565121412803,1.0,1.276326207442597,1.006741573033708,0.9605855855855854,1.0,1.0,1.2155473616404608
2020-05-07,1.962250453720508,1.7630736392742796,1.0880430603613995,1.1048565121412803,1.0,1.276326207442597,1.0,0.9605855855855854,1.0,1.0,1.215513545852565
2020-05-08,1.962250453720508,1.7630736392742796,1.0880430603613995,1.1048565121412803,1.0,1.276326207442597,1.006741573033708,0.9605855855855854,1.0,1.0,1.2161877031559356
2020-05-09,1.8849364791288565,1.5400213447171827,1.0880430603613995,1.1048565121412803,1.0,0.9501187648456056,0.9842696629213484,0.9605855855855854,1.0,1.0,1.1512831409701259
2020-05-10,2.211615245009074,1.567769477054429,1.0880430603613995,1.1048565121412803,1.0,0.9501187648456056,0.9760299625468165,0.9605855855855854,1.0,1.0,1.185901860754419
