date,B00074VZ9O,B00074VZAS,B0009YUFMK,B002DGE8Q6,B002VXF3WE,B003MR52LU,B003MROHZW,B004B3W4N8,B005W0O5JK,B00987HPFO
2011-10-31,21.99,19.625,18.99,,,,,,,
2011-11-01,21.99,19.625,18.99,,,,,,,
2011-11-02,21.99,19.625,18.99,,,,,,,
2011-11-03,21.99,19.625,18.99,,,,,,,
2011-11-04,21.99,19.625,18.99,,,,,,,
2011-11-05,21.99,19.625,18.99,,,,,,,
2011-11-06,21.99,19.625,18.99,,,,,,,
2011-11-07,21.99,19.625,18.99,,,,,,,
2011-11-08,21.99,19.625,18.99,,,,,,,
2011-11-09,21.99,19.625,18.99,,,,,,,
2011-11-10,21.99,19.625,18.99,,,,,,,
2011-11-11,21.99,19.625,18.99,,,,,,,
2011-11-12,21.99,19.625,18.99,,,,,,,
2011-11-13,21.99,19.625,18.99,,,,,,,
2011-11-14,21.99,19.625,18.99,,,,,,,
2011-11-15,21.99,19.625,18.99,,,,,,,
2011-11-16,21.99,19.625,18.99,,,,,,,
2011-11-17,21.99,19.625,18.99,,,,,,,
2011-11-18,21.99,19.625,18.99,,,,,,,
2011-11-19,21.99,19.625,18.99,,,,,,,
2011-11-20,21.99,19.625,18.99,,,,,,,
2011-11-21,21.99,19.625,18.99,,,,,,,
2011-11-22,21.99,19.625,18.99,,,,,,,
2011-11-23,21.99,21.85,18.99,,,,,,,
2011-11-24,21.99,21.85,18.99,,,,,,,
2011-11-25,21.99,21.85,18.99,,,,,,,
2011-11-26,21.99,21.85,18.99,,,,,,,
2011-11-27,21.99,21.85,18.99,,,,,,,
2011-11-28,21.99,21.85,18.99,,,,,,,
2011-11-29,21.99,21.85,18.99,,,,,,,
2011-11-30,21.99,21.85,18.99,,,,,,,
2011-12-01,21.99,21.85,18.99,,,,,,,
2011-12-02,21.99,21.85,18.99,,,,,,,
2011-12-03,21.99,21.85,18.99,,,,,,,
2011-12-04,21.99,21.85,18.99,,,,,,,
2011-12-05,21.99,21.85,18.99,,,,,,,
2011-12-06,21.99,21.85,18.99,,,,,,,
2011-12-07,21.99,21.85,18.99,,,,,,,
2011-12-08,21.99,21.85,18.99,,,,,,,
2011-12-09,21.99,21.85,18.99,,,,,,,
2011-12-10,21.99,21.85,18.99,,,,,,,
2011-12-11,21.99,21.85,18.99,,,,,,,
2011-12-12,21.99,21.85,18.99,,,,,,,
2011-12-13,21.99,21.85,18.99,,,,,,,
2011-12-14,21.99,21.85,18.99,,,,,,,
2011-12-15,21.99,21.85,18.99,,,,,,,
2011-12-16,21.99,21.85,18.99,,,,,,,
2011-12-17,21.99,21.85,18.99,,,,,,,
2011-12-18,21.99,21.85,18.99,,,,,,,
2011-12-19,21.99,21.85,18.99,,,,,,,
2011-12-20,21.99,21.85,18.99,,,,,,,
2011-12-21,21.99,21.85,18.99,,,,,,,
2011-12-22,21.99,21.85,18.99,,,,,,,
2011-12-23,21.99,21.85,18.99,,,,,,,
2011-12-24,21.99,21.85,18.99,,,,,,,
2011-12-25,21.99,21.85,18.99,,,,,,,
2011-12-26,21.99,21.85,18.99,,,,,,,
2011-12-27,21.99,21.85,20.11,,,,,,,
2011-12-28,21.99,21.85,20.11,,,,,,,
2011-12-29,21.99,21.85,20.11,,,,,,,
2011-12-30,21.99,21.85,20.11,,,,,,,
2011-12-31,21.99,21.85,20.11,,,,,,,
2012-01-01,21.99,21.85,20.11,,,,,,,
2012-01-02,21.99,21.85,20.11,,,,,,,
2012-01-03,21.99,21.85,20.11,,,,,,,
2012-01-04,21.99,21.85,20.11,,,,,,,
2012-01-05,21.99,21.85,20.11,,,,,,,
2012-01-06,21.99,21.85,20.11,,,,,,,
2012-01-07,21.99,21.85,20.11,,,,,,,
2012-01-08,21.99,21.85,20.11,,,,,,,
2012-01-09,21.99,21.85,20.11,,,,,,,
2012-01-10,21.99,21.85,20.11,,,,,,,
2012-01-11,21.99,22.36,20.11,,,,,,,
2012-01-12,21.99,22.36,20.11,,,,,,,
2012-01-13,21.99,22.36,20.11,,,,,,,
2012-01-14,21.99,22.36,20.11,,,,,,,
2012-01-15,21.99,22.36,20.11,,,,,,,
2012-01-16,21.99,22.36,20.11,,,,,,,
2012-01-17,21.99,22.36,20.11,,,,,,,
2012-01-18,21.99,22.36,20.11,,,,,,,
2012-01-19,21.99,22.36,20.11,,,,,,,
2012-01-20,21.99,22.36,20.11,,,,,,,
2012-01-21,21.99,22.36,20.11,,,,,,,
2012-01-22,21.99,22.36,20.11,,,,,,,
2012-01-23,21.99,22.36,20.11,,,,,,,
2012-01-24,21.99,22.36,20.11,,,,,,,
2012-01-25,21.99,22.36,20.11,,,,,,,
